学年学期,选课课号,课程代码,课程名称,课程英文名称,开课类型,课程性质,开课学院,任课老师,学分,周学时,起止周,上课地点,上课时间,班级
2025-2026-1,(2025-2026-1)-OPT467-01,OPT467,AdvancedMath,Advanced math,主修课程,通识基础课,经济与管理研究院,程文颢,3.0,课堂学时(3.0),3-17周,经世楼F102,星期三第10-12节{3-17周},2025级经管国际化创新实验班
2025-2026-1,(2025-2026-1)-OPT707-02,OPT707,STATA运用与科研训练,Stata Application and Scientific Research,主修课程,实践环节课,金融学院,张晓涵,2.0,课堂学时(2.0),1-17周,经世楼C305,星期五第3-4节{1-17周},2023级保险学
2025-2026-1,(2025-2026-1)-OPT707-01,OPT707,STATA运用与科研训练,Stata Application and Scientific Research,主修课程,实践环节课,金融学院,严文龙,2.0,课堂学时(2.0),1-17周,经世楼C306,星期五第6-7节{1-17周},2023级保险学（财务与会计双语实验班）
2025-2026-1,(2025-2026-1)-ECO203-01,ECO203,《资本论》选读,Selected Readings from Capital,主修课程,专业必修课,经济学院,刘子嘉,3.0,课堂学时(3.0),1-17周,颐德楼H308,星期二第10-12节{1-17周},2023级经济学（国家经济学基础人才培养基地班）
2025-2026-1,(2025-2026-1)-MAT101-01,MAT101,一元微积分,Calculus ,主修课程,通识基础课,数学学院,朱文莉,3.0,课堂学时(3.0),1-17周,经世楼G101,星期二第1-3节{1-17周},2025级外国语言文学类;2025级新闻学;2025级汉语言文学;2025级法学;2025级网络与新媒体
2025-2026-1,(2025-2026-1)-ART025-01,ART025,三维动画设计,Three-dimensional Animation Design,主修课程,专业必修课,人文与艺术学院,梁冰,3.0,课堂学时(3.0),6-10周,,星期一第10-12节{6-10周};星期三第5-8节{6-10周};星期四第1-4节{6-9周},2023级数字媒体艺术
2025-2026-1,(2025-2026-1)-INV304-01,INV304,不动产投资学,Real Estate Investments,主修课程,专业方向课,财政税务学院,周晓蓉,3.0,课堂学时(3.0),1-17周,格致楼J213,星期四第1-3节{1-17周},2023级投资学
2025-2026-1,(2025-2026-1)-PRT104-01,PRT104,专业实习,Professional Internship,主修课程,实践环节课,金融学院,张泽立,2.0,实践学时(0.0),1-17周,,,2022级金融学（智能金融与区块链金融）
2025-2026-1,(2025-2026-1)-HUM119-01,HUM119,世界历史,World History,主修课程,通识核心课,纽约城市大学巴鲁学院,郝若欣,3.0,课堂学时(3.0),1-17周,,,2021级会计学（中外合作办学）
2025-2026-1,(2025-2026-1)-INS306-01,INS306,个人风险管理与保险规划,Personal Risk Management and Insurance Planning,主修课程,专业方向课,金融学院,张栋浩,3.0,课堂学时(3.0),1-17周,经世楼B107,星期一第10-12节{1-17周},2023级保险学
2025-2026-1,(2025-2026-1)-HUM103-01,HUM103,中国传统文化概论,An Overview of Chinese Traditional Culture,主修课程,通识核心课,人文与艺术学院,崔雪茹,2.0,课堂学时(2.0),1-17周,颐德楼H312,星期四第1-2节{1-17周},2024级信息管理与信息系统（信息系统与数据管理）;2024级商务英语;2024级国际经济与贸易（国际组织人才实验班）;2024级数学与应用数学（数学与经济学双学位）;2024级数据科学与大数据技术;2024级经济统计学（金融统计与风险管理实验班）;2024级经管国际化创新实验班;2024级统计学;2024级金融数学
2025-2026-1,(2025-2026-1)-HUM103-07,HUM103,中国传统文化概论,An Overview of Chinese Traditional Culture,主修课程,通识核心课,人文与艺术学院,潘斌,2.0,课堂学时(2.0),3-17周,颐德楼H213,星期二第3-4节{3-17周},2025级信息管理与信息系统（信息系统与数据管理）;2025级公共管理类;2025级工商管理类;2025级工商管理类（会计学院）;2025级管理科学与工程类;2025级经管国际化创新实验班;2025级金融学类
2025-2026-1,(2025-2026-1)-HUM103-03,HUM103,中国传统文化概论,An Overview of Chinese Traditional Culture,主修课程,通识核心课,人文与艺术学院,张卉,2.0,课堂学时(2.0),1-17周,颐德楼H307,星期四第3-4节{1-17周},2024级会计学（大数据会计）;2024级信息管理与信息系统;2024级劳动与社会保障;2024级数字媒体艺术;2024级数学与应用数学（基础学科拔尖实验班）;2024级数学与应用数学（金融数学实验班）;2024级新闻学;2024级汉语言文学;2024级税收学;2024级税收学（数字财税实验班）;2024级经济学（国家经济学基础人才培养基地班）;2024级经济学（经济学拔尖学生培养基地班）;2024级网络与新媒体;2024级行政管理;2024级西班牙语;2024级财政学;2024级金融工程;2024级金融数学（金融服务与量化分析）;2024级金融科技
2025-2026-1,(2025-2026-1)-HUM103-02,HUM103,中国传统文化概论,An Overview of Chinese Traditional Culture,主修课程,通识核心课,人文与艺术学院,崔雪茹,2.0,课堂学时(2.0),1-17周,颐德楼H312,星期四第3-4节{1-17周},2024级会计学（大数据会计）;2024级信息管理与信息系统;2024级劳动与社会保障;2024级数字媒体艺术;2024级数学与应用数学（基础学科拔尖实验班）;2024级数学与应用数学（金融数学实验班）;2024级新闻学;2024级汉语言文学;2024级税收学;2024级税收学（数字财税实验班）;2024级经济学（国家经济学基础人才培养基地班）;2024级经济学（经济学拔尖学生培养基地班）;2024级网络与新媒体;2024级行政管理;2024级西班牙语;2024级财政学;2024级金融工程;2024级金融数学（金融服务与量化分析）;2024级金融科技
